year_data,year_planted,row,column,sub,type,id,veg_height,rep_height,height,circumference,diameter,area,tillers,2020_fall,2020_winter,2021_spring,2021_fall,,,,distance
2020,2019,1,2,A,annual,a1,,28,28,,1.5,,4,annual,,,,,,,4_p
2020,2019,1,2,A,annual,a2,,2,2,,0.1,,0,annual,,,,,,,1.5_p
2020,2019,1,2,A,annual,a3,,19,19,,1,,1,annual,,,,,,,"2_s,5_p"
2020,2019,1,2,A,annual,a4,,1,1,,0.1,,0,annual,,,,,,,2_p
2020,2019,1,2,A,annual,a5,,10,10,,0.1,,1,annual,,,,,,,6_p
2021,2019,1,2,A,newadult,s2,8,,8,,2,,0,,,newadult,,,,,
2021,2019,1,2,A,adult,p2,8,43,8,,3,,5,,,partial,,,,,
2021,2019,1,2,A,adult,p3,8,40,8,,,30,29,,,alive,,,,,
2021,2019,1,2,A,adult,p4,10,36,10,,5,,19,,,alive,,,,,
2021,2019,1,2,A,adult,p5,4,19,4,,,8,4,,,partial,,,,,
2021,2019,1,2,A,adult,p7,7,,7,,,9,0,,,partial,,,,,
2021,2020,1,2,A,seedling,s4,4,,4,,2,,,,,alive,,,,,
2021,2020,1,2,A,annual,a6,,26,26,,1,,,,,annual,,,,,
2020,2019,1,2,B,adult,p1,10,40,10,17,,,167,alive,alive,alive,,,,,
2020,2019,1,2,B,adult,p2,12,47,12,11,,,80,alive,alive,gopher,,,,,
2020,2019,1,2,B,seedling,s1,3,,3,,2,,,alive,alive,newadult,,,,,4_s
2020,2019,1,2,B,seedling,s2,4.5,,4.5,,3,,,alive,alive,newadult,,,,,3_s
2020,2019,1,2,B,seedling,s3,6,,6,,6,,,alive,alive,newadult,,,,,2_s
2020,2019,1,2,B,seedling,s4,4,,4,,3,,,removed,,,,,,,2_s
2021,2019,1,2,B,newadult,s1,8,33,8,,4,,81,,,newadult,,,,,
2021,2019,1,2,B,newadult,s2,3,,3,,2,,0,,,newadult,,,,,
2021,2019,1,2,B,newadult,s3,5,14,5,,3,,4,,,newadult,,,,,
2021,2019,1,2,B,adult,p1,10,40,10,,8,,90,,,alive,,,,,
2021,2020,1,2,B,seedling,s5,3,,3,,1,,,,,alive,,,,,
2021,2020,1,2,B,seedling,s6,2,,2,,1,,,,,alive,,,,,
2021,2020,1,2,B,seedling,s7,2,,2,,1,,,,,alive,,,,,
2021,2020,1,2,B,seedling,s8,1,,1,,1,,,,,alive,,,,,
2021,2020,1,2,B,annual,a1,,8,8,,0.1,,1,,,annual,,,,,
2021,2020,1,2,B,annual,a2,,11,11,,0.1,,1,,,annual,,,,,
2021,2020,1,2,B,annual,aa3,,7,7,,0.1,,1,,,annual,,,,,
2021,2019,1,3,A,newadult,s1,6,23,6,,2,,1,,,newadult,,,,,
2020,2019,1,3,B,adult,p1,7,38,7,11,,,14,partial,partial,partial,,,,,
2020,2019,1,3,B,adult,p2,7,26,7,12,,,23,alive,alive,alive,,,,,
2020,2019,1,3,B,adult,p3,9,34,9,12,,,24,partial,partial,partial,,,,,
2020,2019,1,3,B,adult,p4,10,38,10,19,,,29,partial,partial,partial,,,,,
2021,2019,1,3,B,adult,p1,6,29,6,,,2,4,,,partial,,,,,
2021,2019,1,3,B,adult,p2,8,32,8,,5,,96,,,alive,,,,,
2021,2019,1,3,B,adult,p3,5,,5,,,2,0,,,partial,,,,,
2021,2019,1,3,B,adult,p4,9,23,9,,,4.5,2,,,partial,,,,,
2020,2019,1,3,C,adult,p1,10,33,10,13,,,66,alive,gopher,,,,,,
2020,2019,1,3,C,adult,p2,12,43,12,12,,,36,gopher,replaced,gopher,,,,,
2020,2019,1,3,C,adult,p3,9,30,9,12,,,18,alive,gopher,,,,,,
2020,2019,1,3,C,adult,p4,8,31,8,12,,,37,alive,alive,alive,,,,,
2021,2019,1,3,C,adult,p4,6,27,6,,4,,27,,,alive,,,,,
2021,2019,1,3,C,newadult,s1,4,,4,,2,,0,,,newadult,,,,,
2021,2019,1,3,C,newadult,s2,5,19,5,,3,,4,,,newadult,,,,,
2021,2019,1,3,C,newadult,s3,5,15,5,,2,,5,,,newadult,,,,,
2020,2019,1,4,A,adult,p1,8,32,8,11,,,31,gopher,,,,,,,
2020,2019,1,4,A,adult,p2,9,36,9,10.5,,,25,alive,alive,alive,,,,,
2020,2019,1,4,A,annual,a1,,41,41,,4,,13,annual,,,,,,,-1_p
2020,2019,1,4,A,annual,a2,,14,14,,2,,10,annual,,,,,,,"1_a,4_p"
2020,2019,1,4,A,annual,a3,,36,36,,6,,19,annual,,,,,,,-1_p
2020,2019,1,4,A,annual,a4,,9,9,,2,,4,annual,,,,,,,1_a
2020,2019,1,4,A,seedling,s1,1.5,,1.5,,2,,,alive,dead,,,,,,2_a
2021,2019,1,4,A,adult,p2,5,24,5,,4,,42,,,alive,,,,,
2021,2020,1,4,A,annual,a5,,28,28,,1,,10,,,annual,,,,,
2021,2020,1,4,A,annual,a6,,38,38,,1,,4,,,annual,,,,,
2021,2020,1,4,A,annual,a7,,28,28,,1,,11,,,annual,,,,,
2021,2020,1,4,A,annual,a8,,15,15,,1,,5,,,annual,,,,,
2020,2019,1,4,B,adult,p1,10,38,10,15,,,37,gopher,,,,,,,
2020,2019,1,4,B,adult,p2,7,33,7,13,,,55,partial,partial,partial,,,,,
2020,2019,1,4,B,adult,p3,9,38,9,8,,,78,alive,alive,alive,,,,,
2020,2019,1,4,B,adult,p4,7,32,7,9,,,54,alive,partial,partial,,,,,
2020,2019,1,4,B,adult,p5,10,33,10,11,,,57,partial,partial,partial,,,,,
2020,2019,1,4,B,adult,p6,11,38,11,10,,,43,partial,partial,partial,,,,,
2020,2019,1,4,B,adult,p7,9,21,9,5,,,2,alive,gopher,,,,,,
2020,2019,1,4,B,adult,p8,10,0,10,8,,,0,alive,gopher,,,,,,
2020,2019,1,4,B,adult,p9,13,32,13,13,,,40,alive,gopher,,,,,,
2020,2019,1,4,B,adult,p10,12,31,12,11,,,48,alive,gopher,,,,,,
2020,2019,1,4,B,annual,a1,,3,3,,0.1,,1,annual,,,,,,,1_p
2020,2019,1,4,B,annual,a2,,9,9,,2,,2,annual,,,,,,,2_p
2020,2019,1,4,B,annual,a3,,6,6,,1,,2,annual,,,,,,,2_p
2020,2019,1,4,B,seedling,s1,1,,1,,2,,,partial,partial,newadult,,,,,4_p
2020,2019,1,4,B,seedling,s2,1,,1,,1,,,gopher,,,,,,,1_p
2021,2019,1,4,B,newadult,s1,4,,4,,1,,,,,newadult,,,,,
2021,2019,1,4,B,adult,p2,7,31,7,,3,,2,,,partial,,,,,
2021,2019,1,4,B,adult,p3,7,33,7,,5,,86,,,alive,,,,,
2021,2019,1,4,B,adult,p4,4,30,4,,,2,14,,,partial,,,,,
2021,2019,1,4,B,adult,p5,7,31,7,,,2,6,,,partial,,,,,
2021,2019,1,4,B,adult,p6,5,26,5,,2,,11,,,partial,,,,,
2021,2020,1,4,B,seedling,s3,4,,4,,1.5,,,,,alive,,,,,
2021,2020,1,4,B,annual,a1,27,,27,,2,,2,,,annual,,,,,
2020,2019,1,5,A,adult,p1,12,35,12,15,,,55,alive,partial,partial,,,,,
2020,2019,1,5,A,adult,p2,13,41,13,15,,,65,alive,partial,partial,,,,,
2020,2019,1,5,A,adult,p3,10,28,10,11,,,14,alive,gopher,,,,,,
2020,2019,1,5,A,adult,p4,11,46,11,9,,,95,alive,alive,alive,,,,,
2020,2019,1,5,A,adult,p5,12,39,12,14,,,16,alive,partial,partial,,,,,
2020,2019,1,5,A,adult,p6,9,36,9,12,,,130,alive,partial,partial,,,,,
2020,2019,1,5,A,adult,p7,11,47,11,11,,,57,alive,gopher,,,,,,
2020,2019,1,5,A,adult,p8,13,48,13,11,,,23,alive,alive,gopher,,,,,
2020,2019,1,5,A,adult,p9,10,44,10,13,,,103,alive,partial,partial,,,,,
2020,2019,1,5,A,adult,p10,6,37,6,11,,,62,alive,partial,partial,,,,,
2020,2019,1,5,A,annual,a1,,4,4,,1,,1,annual,,,,,,,3_p
2020,2019,1,5,A,annual,a2,,10,10,,1,,3,annual,,,,,,,6_p
2020,2019,1,5,A,annual,a3,,1,1,,0.1,,0,annual,,,,,,,1_p
2020,2019,1,5,A,annual,a4,,10,10,,1,,1,annual,,,,,,,5_p
2020,2019,1,5,A,annual,a5,,1,1,,1,,0,annual,,,,,,,1_p
2020,2019,1,5,A,annual,a6,,1,1,,1,,2,annual,,,,,,,3_p
2021,2019,1,5,A,adult,p1,5,,5,,,3,0,,,partial,,,,,
2021,2019,1,5,A,adult,p2,6,36,6,,,2,4,,,partial,,,,,
2021,2019,1,5,A,adult,p4,8,44,8,,6,,110,,,alive,,,,,
2021,2019,1,5,A,adult,p5,5,33,5,,,5,1,,,partial,,,,,
2021,2019,1,5,A,adult,p6,7,32,7,,3,,6,,,partial,,,,,
2021,2019,1,5,A,adult,p9,6,24,6,,,6,8,,,partial,,,,,
2021,2019,1,5,A,adult,p10,7,37,7,,,12,28,,,partial,,,,,
2021,2020,1,5,A,annual,a7,,26,26,,2,,6,,,annual,,,,,
2021,2020,1,5,A,annual,a8,,30,30,,3,,20,,,annual,,,,,
2021,2020,1,5,A,annual,a9,,25,25,,1,,3,,,annual,,,,,
2020,2019,1,5,B,adult,p1,7,25,7,16,,,132,alive,alive,partial,,,,,
2020,2019,1,5,B,adult,p2,11,27,11,16,,,52,alive,partial,partial,,,,,
2020,2019,1,5,B,annual,a1,,10,10,,3,,3,annual,,,,,,,14_p
2020,2019,1,5,B,annual,a2,,15,15,,3,,4,annual,,,,,,,"15_p,7_s"
2020,2019,1,5,B,annual,a3,,14,14,,4,,8,annual,,,,,,,"9_p,8_s"
2020,2019,1,5,B,seedling,s1,3,,3,,1,,,alive,alive,newadult,,,,,8_a
2020,2019,1,5,B,seedling,s2,2,,2,,1,,,alive,gopher,,,,,,8_a
2021,2019,1,5,B,adult,p1,8,28,8,,,15,170,,,partial,,,,,
2021,2019,1,5,B,adult,p2,6,30,6,,,10,12,,,partial,,,,,
2021,2019,1,5,B,newadult,s1,4,,4,,,6,,,,newadult,,,,,
2021,2020,1,5,B,seedling,s3,3,,3,,1,,,,,alive,,,,,
2021,2020,1,5,B,annual,a4,,26,26,,2,,19,,,alive,,,,,
2021,2020,1,5,B,annual,a5,,16,16,,1,,8,,,annual,,,,,
2020,2019,1,6,A,adult,p1,10,31,10,14,,,64,alive,alive,partial,,,,,
2020,2019,1,6,A,adult,p2,11,34,11,13,,,45,alive,gopher,,,,,,
2020,2019,1,6,A,annual,a1,,16,16,,3,,6,annual,,,,,,,0_a
2020,2019,1,6,A,annual,a2,,15,15,,3,,5,annual,,,,,,,0_a
2020,2019,1,6,A,annual,a3,,20,20,,1,,2,annual,,,,,,,4_p
2020,2019,1,6,A,annual,a4,,14,14,,2,,4,annual,,,,,,,"2_a,13_p"
2021,2019,1,6,A,adult,p1,8,30,8,,,6,5,,,partial,,,,,
2021,2020,1,6,A,annual,a5,,26,26,,1,,7,,,annual,,,,,
2021,2020,1,6,A,annual,a6,,22,22,,1,,2,,,annual,,,,,
2021,2020,1,6,A,annual,a7,,29,29,,1,,7,,,annual,,,,,
2021,2020,1,6,A,annual,a8,,20,20,,1,,1,,,annual,,,,,
2020,2019,1,6,B,adult,p1,10,34,10,13,,,39,alive,gopher,,,,,,
2020,2019,1,6,B,adult,p2,11,37,11,10,,,14,alive,alive,partial,,,,,
2020,2019,1,6,B,annual,a1,,16,16,,3,,8,annual,,,,,,,"2_s,8_p"
2020,2019,1,6,B,annual,a2,,10,10,,2,,2,annual,,,,,,,4_s
2020,2019,1,6,B,annual,a3,,2,2,,0.1,,0,annual,,,,,,,"2_s,9_p"
2020,2019,1,6,B,annual,a4,,8,8,,3,,4,annual,,,,,,,3_s
2020,2019,1,6,B,seedling,s1,4,,4,,2,,,alive,alive,newadult,,,,,"2_s,10_a"
2020,2019,1,6,B,seedling,s2,2,,2,,1,,,alive,alive,newadult,,,,,"1_s,8_a,8_p"
2020,2019,1,6,B,seedling,s3,2,,2,,1,,,dead,,,,,,,4_s
2020,2019,1,6,B,seedling,s4,4,,4,,2,,,alive,alive,newadult,,,,,1_s
2021,2019,1,6,B,newadult,s1,5,24,5,,,2,4,,,newadult,,,,,
2021,2019,1,6,B,newadult,s2,9,32,9,,3,,12,,,newadult,,,,,
2021,2019,1,6,B,newadult,s4,5,,5,,1.5,,0,,,newadult,,,,,
2021,2019,1,6,B,adult,p2,5,29,5,,,4.5,2,,,alive,,,,,
2021,2020,1,6,B,seedling,s5,3,,3,,0.5,,,,,alive,,,,,
2021,2020,1,6,B,seedling,s6,2,,2,,0.5,,,,,alive,,,,,
2021,2020,1,6,B,seedling,s7,2,,2,,0.5,,,,,alive,,,,,
2021,2020,1,6,B,seedling,s8,4,,4,,1,,,,,alive,,,,,
2021,2020,1,6,B,annual,a5,,30,30,,2.5,,16,,,annual,,,,,
2021,2020,1,6,B,annual,a6,,23,23,,1,,3,,,annual,,,,,
2021,2020,1,6,B,annual,a7,,25,25,,1,,6,,,annual,,,,,
2021,2020,1,6,B,annual,a8,,26,26,,2,,10,,,annual,,,,,
2020,2019,1,7,A,adult,p1,9,37,9,10,,,13,alive,alive,partial,,,,,
2020,2019,1,7,A,adult,p2,9,41,9,15,,,91,alive,alive,gopher,,,,,
2020,2019,1,7,A,annual,a1,,13,13,,3,,15,annual,,,,,,,11_a
2020,2019,1,7,A,annual,a2,,19,19,,2,,13,annual,,,,,,,11_a
2020,2019,1,7,A,annual,a3,,21,21,,4,,17,annual,,,,,,,"11_a,4_s"
2020,2019,1,7,A,seedling,s1,3,,3,,1,,,alive,alive,newadult,,,,,5_a
2020,2019,1,7,A,seedling,s2,2,,2,,1,,,alive,alive,newadult,,,,,5_a
2021,2019,1,7,A,newadult,s1,3,,3,,,1.5,,,,newadult,,,,,
2021,2019,1,7,A,newadult,s2,4,,4,,2,,,,,newadult,,,,,
2021,2019,1,7,A,adult,p1,7,27,7,,,4,7,,,partial,,,,,
2021,2020,1,7,A,seedling,s3,3,,3,,1,,,,,seedling,,,,,
2021,2020,1,7,A,seedling,s4,3,,3,,1,,,,,seedling,,,,,
2021,2020,1,7,A,annual,a4,,36,36,,2,,15,,,newadult,,,,,
2021,2020,1,7,A,annual,a5,,13,13,,0.1,,1,,,newadult,,,,,
2021,2020,1,7,A,annual,a6,,23,23,,2,,14,,,newadult,,,,,
2021,2020,1,7,A,annual,a7,,29,29,,2,,12,,,newadult,,,,,
2020,2019,1,7,B,adult,p1,6,22,6,,5,,1,alive,alive,partial,,,,,
2020,2019,1,7,B,adult,p2,7,22,7,,9,,7,alive,alive,alive,,,,,
2020,2019,1,7,B,annual,a1,,12,12,,3,,6,annual,,,,,,,1_a
2020,2019,1,7,B,annual,a2,,23,23,,2,,6,annual,,,,,,,1_a
2020,2019,1,7,B,annual,a3,,15,15,,1,,6,annual,,,,,,,1_a
2020,2019,1,7,B,annual,a4,,20,20,,2,,3,annual,,,,,,,"0_a,6_p"
2020,2019,1,7,B,seedling,s1,2,,2,,1,,,alive,alive,newadult,,,,,1_a
2021,2019,1,7,B,newadult,s1,3,,3,,1.5,,0,,,newadult,,,,,
2021,2019,1,7,B,adult,p1,4,33,4,,2.5,,19,,,partial,,,,,
2021,2019,1,7,B,adult,p2,5,30,5,,5,,106,,,alive,,,,,
2021,2020,1,7,B,seedling,s2,2,,2,,1,,,,,seedling,,,,,
2021,2020,1,7,B,annual,a5,,21,21,,0.1,,2,,,annual,,,,,
2021,2020,1,7,B,annual,a6,,38,38,,1,,3,,,annual,,,,,
2021,2020,1,7,B,annual,a7,,26,26,,1,,3,,,annual,,,,,
2021,2020,1,7,B,annual,a8,,35,35,,1,,4,,,annual,,,,,
2020,2019,1,8,A,adult,p1,9,21,9,6,,,20,alive,gopher,,,,,,
2020,2019,1,8,A,adult,p2,11,0,11,8,,,0,alive,gopher,,,,,,
2020,2019,1,8,A,adult,p3,11,29,11,11,,,39,alive,gopher,,,,,,
2020,2019,1,8,A,adult,p4,19,43,19,15,,,69,alive,gopher,,,,,,
2021,2019,1,8,A,newadult,s1,5,31,5,,3,,14,,,newadult,,,,,
2021,2019,1,8,A,newadult,s2,7,28,7,,3,,7,,,newadult,,,,,
2021,2019,1,8,A,newadult,s3,6,34,6,,2,,2,,,newadult,,,,,
2021,2019,1,8,A,newadult,s4,3,,3,,2,,0,,,newadult,,,,,
2020,2019,1,8,B,adult,p1,6,0,6,7,,,0,alive,gopher,,,,,,
2020,2019,1,8,B,adult,p2,13,39,13,10,,,28,alive,gopher,,,,,,
2020,2019,1,8,B,adult,p3,8,36,8,12,,,78,alive,gopher,,,,,,
2020,2019,1,8,B,adult,p4,12,36,12,11,,,47,alive,gopher,,,,,,
2021,2019,1,8,B,newadult,s1,4,28,4,,3,,21,,,newadult,,,,,
2020,2019,2,1,A,adult,p1,8,27,8,9,,,1,partial,partial,partial,,,,,
2020,2019,2,1,A,adult,p2,10,9,10,13,,,2,alive,alive,alive,,,,,
2020,2019,2,1,A,adult,p3,10,42,10,10,,,48,alive,alive,alive,,,,,
2020,2019,2,1,A,adult,p4,9,36,9,8,,,4,alive,alive,alive,,,,,
2021,2019,2,1,A,adult,p1,7,33,7,,5,,115,,,partial,,,,,
2021,2019,2,1,A,adult,p2,7,42,7,,,48,258,,,alive,,,,,
2021,2019,2,1,A,adult,p3,6,35,6,,5,,128,,,alive,,,,,
2021,2019,2,1,A,adult,p4,7,47,7,,8,,181,,,alive,,,,,
2021,2019,2,1,B,newadult,s1,5,33,5,,8,,98,,,newadult,,,,,
2020,2019,2,1,C,adult,p1,7,31,7,8,,,6,alive,alive,alive,,,,,
2020,2019,2,1,C,adult,p2,8,31,8,8,,,10,alive,alive,alive,,,,,
2020,2019,2,1,C,adult,p3,9,22,9,10,,,7,alive,alive,alive,,,,,
2020,2019,2,1,C,adult,p4,8,33,8,10,,,16,alive,alive,alive,,,,,
2021,2019,2,1,C,adult,p1,8,38,8,,5,,270,,,alive,,,,,
2021,2019,2,1,C,adult,p2,6,41,6,,3,,63,,,alive,,,,,
2021,2019,2,1,C,adult,p3,7,32,7,,3,,227,,,alive,,,,,
2021,2019,2,1,C,adult,p4,8,33,8,,6,,202,,,alive,,,,,
2020,2019,2,2,A,adult,p1,11,37,11,14,,,48,alive,alive,alive,,,,,
2020,2019,2,2,A,adult,p2,10,33,10,14,,,19,alive,alive,alive,,,,,
2020,2019,2,2,A,annual,a1,,21,21,,2,,4,annual,,,,,,,"3_s,9_p"
2020,2019,2,2,A,annual,a2,,25,25,,3,,5,annual,,,,,,,5_p
2020,2019,2,2,A,annual,a3,,15,15,,1,,2,annual,,,,,,,"5_s,8_p"
2020,2019,2,2,A,seedling,s1,3,,3,,1,,,alive,alive,newadult,,,,,"2_a,7_p"
2020,2019,2,2,A,seedling,s2,3,,3,,1,,,removed,,,,,,,3_p
2020,2019,2,2,A,seedling,s3,1,,1,,1,,,alive,alive,newadult,,,,,"4_a,8_p"
2020,2019,2,2,A,seedling,s4,3,,3,,1,,,alive,alive,newadult,,,,,0_s
2021,2019,2,2,A,adult,p1,11,39,11,,,50,168,,,alive,,,,,
2021,2019,2,2,A,adult,p2,10,39,10,,,24,18,,,alive,,,,,
2021,2019,2,2,A,newadult,s1,3,,3,,1,,0,,,newadult,,,,,
2021,2019,2,2,A,newadult,s4,4,,4,,1.5,,0,,,newadult,,,,,
2021,2019,2,2,A,newadult,s3,5,27,5,,3,,13,,,newadult,,,,,
2021,2020,2,2,A,seedling,s5,2,,2,,0.1,,,,,alive,,,,,
2021,2020,2,2,A,seedling,s6,2,,2,,0.1,,,,,alive,,,,,
2021,2020,2,2,A,seedling,s7,2,,2,,0.1,,,,,alive,,,,,
2021,2020,2,2,A,seedling,s8,2,,2,,0.1,,,,,alive,,,,,
2020,2019,2,2,B,adult,p1,11,31,11,9,,,11,alive,alive,alive,,,,,
2020,2019,2,2,B,adult,p2,10,0,10,10,,,0,alive,alive,alive,,,,,
2020,2019,2,2,B,annual,a1,,9,9,,3,,9,annual,,,,,,,2_s
2020,2019,2,2,B,annual,a2,,2,2,,0.1,,0,annual,,,,,,,8_a
2020,2019,2,2,B,annual,a3,,2,2,,0.1,,0,annual,,,,,,,4_p
2020,2019,2,2,B,annual,a4,,2,2,,1,,0,annual,,,,,,,7_p
2020,2019,2,2,B,seedling,s1,1,,1,,0.1,,,removed,,,,,,,11_p
2020,2019,2,2,B,seedling,s2,3,,3,,1,,,alive,gopher,,,,,,2_a
2020,2019,2,2,B,seedling,s3,3,,3,,1,,,alive,alive,dead,,,,,5_p
2020,2019,2,2,B,seedling,s4,2,,2,,1,,,removed,,,,,,,9_p
2021,2019,2,2,B,adult,p1,6,36,6,,7,,210,,,alive,,,,,
2021,2019,2,2,B,adult,p2,11,36,11,,6,,78,,,alive,,,,,
2021,2020,2,2,B,annual,a5,,32,32,,0.1,,2,,,annual,,,,,
2021,2020,2,2,B,annual,a6,,30,30,,1,,8,,,annual,,,,,
2020,2019,2,3,A,adult,p1,9,0,9,7,,,0,alive,partial,partial,,,,,
2020,2019,2,3,A,adult,p2,12,51,12,15,,,51,partial,partial,partial,,,,,
2020,2019,2,3,A,adult,p3,11,36,11,9,,,10,alive,alive,alive,,,,,
2020,2019,2,3,A,adult,p4,8,35,8,8,,,14,alive,alive,partial,,,,,
2020,2019,2,3,A,adult,p5,12,43,12,10,,,71,alive,alive,alive,,,,,
2020,2019,2,3,A,adult,p6,10,0,10,9,,,0,alive,alive,alive,,,,,
2020,2019,2,3,A,adult,p7,8,0,8,9,,,0,alive,alive,alive,,,,,
2020,2019,2,3,A,adult,p8,10,42,10,10,,,17,alive,alive,gopher,,,,,
2020,2019,2,3,A,adult,p9,8,33,8,11,,,48,alive,alive,partial,,,,,
2020,2019,2,3,A,adult,p10,10,38,10,9,,,11,alive,partial,partial,,,,,
2020,2019,2,3,A,annual,a1,,7,7,,1,,1,annual,,,,,,,3_p
2020,2019,2,3,A,annual,a2,,16,16,,0.1,,1,annual,,,,,,,4_p
2020,2019,2,3,A,annual,a3,,2,2,,0.1,,0,annual,,,,,,,1_p
2020,2019,2,3,A,annual,a4,,10,10,,0.1,,1,annual,,,,,,,7_p
2020,2019,2,3,A,annual,a5,,5,5,,0.1,,1,annual,,,,,,,2_p
2020,2019,2,3,A,seedling,s1,3,,3,,1,,,alive,alive,newadult,,,,,5_p
2020,2019,2,3,A,seedling,s2,1,,1,,0.1,,,dead,,,,,,,1_p
2021,2019,2,3,A,adult,p1,5,,5,,3,,0,,,partial,,,,,
2021,2019,2,3,A,adult,p2,8,,8,,2,,0,,,partial,,,,,
2021,2019,2,3,A,adult,p3,9,39,9,,5,,83,,,alive,,,,,
2021,2019,2,3,A,adult,p4,6,35,6,,,15,85,,,partial,,,,,
2021,2019,2,3,A,adult,p5,7,39,7,,,12,46,,,alive,,,,,
2021,2019,2,3,A,adult,p6,8,45,8,,7,,105,,,alive,,,,,
2021,2019,2,3,A,adult,p7,6,40,6,,6,,42,,,alive,,,,,
2021,2019,2,3,A,adult,p9,4,,4,,,4,0,,,partial,,,,,
2021,2019,2,3,A,adult,p10,8,22,8,,,8,3,,,partial,,,,,
2021,2019,2,3,A,newadult,s1,6,,6,,,2,0,,,newadult,,,,,
2021,2020,2,3,A,annual,a1,,21,21,,0.5,,2,,,annual,,,,,
2020,2019,2,3,B,adult,p1,10,35,10,10,,,31,alive,alive,partial,,,,,
2020,2019,2,3,B,adult,p2,10,41,10,13,,,21,alive,alive,alive,,,,,
2020,2019,2,3,B,annual,a1,,12,12,,1,,8,annual,,,,,,,8_p
2020,2019,2,3,B,annual,a2,,21,21,,2,,12,annual,,,,,,,"12_p,6_s"
2020,2019,2,3,B,annual,a3,,19,19,,2,,10,annual,,,,,,,"10_p,5_s"
2020,2019,2,3,B,seedling,s1,2,,2,,1,,,alive,gopher,,,,,,12_a
2020,2019,2,3,B,seedling,s2,2,,2,,1,,,alive,alive,newadult,,,,,5_a
2021,2019,2,3,B,newadult,s2,4,,4,,1.5,,,,,newadult,,,,,
2021,2019,2,3,B,adult,p1,7,30,7,,,24,95,,,partial,,,,,
