row,column,block,sub,warmtrt,comptrt,per_s,per_na,per_p,per_a,count_s,count_na,count_p,count_dam_p,count_a,til_na,til_p,til_a,gopher_spring,moisture_spring,count_s_fall,fall_s_g,count_na_fall,fall_na_g,count_p_fall,fall_p_g,gopher_fall,notes
1,8,4,C,amb,a_s,2,2,0,15,9,1,0,0,17,21,0,72,0.75,19.8,7,1,1,,0,,,
2,1,1,A,warm,s_p,0,0,80,0,0,0,4,0,0,0,682,0,0.1,17.3,0,,0,,4,,,
2,1,1,B,warm,a_s,1,6,0,8,8,1,0,0,8,98,0,23,0.5,18.2,5,,1,,0,,,
2,1,1,C,warm,a_p,0,0,80,5,0,0,4,0,6,0,762,42,0.7,19.5,0,,0,,4,,,
2,2,1,A,warm,s,1,5,50,2,9,3,2,0,6,13,186,19,0.6,27.4,2,,3,,2,,0.25,
2,2,1,B,warm,n,0,0,40,1,0,0,2,0,2,0,288,10,0.3,37.5,0,,0,,2,,,
2,3,2,A,warm,p,0,1,70,1,0,1,4,5,1,0,425,0,0.45,29.9,0,,0,1,8,1,,
2,3,2,B,warm,n,1,1,35,0,2,1,2,0,0,0,283,0,0.4,33.6,1,1,1,,2,,,
2,4,2,A,warm,s,10,5,5,5,30,2,0,1,9,3,2,32,0.5,30.7,13,,1,1,1,,0.1,
2,4,2,B,warm,a,0,1,0,5,0,1,0,0,13,0,0,40,0.9,27.2,0,,1,,0,,,
2,5,3,A,warm,a,0,2,3,20,0,1,0,2,40,3,8,116,0.9,13.7,0,,1,,2,,,
2,5,3,B,warm,s,10,5,0,10,58,2,0,0,17,0,0,44,0.65,22.2,46,,1,1,0,,0.15,
2,6,3,A,warm,s_p,2,8,8,0,7,4,1,0,0,5,17,0,0.35,20.5,3,,4,,0,,0.15,
2,6,3,B,warm,a_p,0,0,60,5,0,0,0,4,11,0,281,31,0.4,15.4,0,,0,,4,,,
2,6,3,C,warm,a_s,1,0,0,15,4,0,0,0,13,0,0,19,0.85,17.7,4,,0,,0,,,
2,7,4,A,warm,p,0,1,70,2,0,1,6,4,1,0,501,3,0.3,15.8,0,,0,1,10,,,
2,7,4,B,warm,n,1,3,4,4,3,2,0,1,3,0,6,11,0.75,17.4,0,1,1,1,1,,,
2,8,4,A,warm,s_p,2,1,0,1,14,1,0,0,2,0,0,4,0.7,24.7,11,,1,,0,,,
2,8,4,B,warm,a_s,2,0,0,15,6,0,0,0,35,0,0,102,0.8,14.8,6,,0,,0,,,
2,8,4,C,warm,a_p,0,0,2,10,0,0,0,1,23,0,0,64,0.9,22.4,0,,0,,0,1,,
3,1,1,A,amb,a_s,10,0,0,50,44,0,0,0,45,0,0,180,0.45,14.7,17,,0,,0,,0.4,
3,1,1,B,amb,a_p,0,0,90,10,0,0,3,1,14,0,581,63,0.3,14.2,0,,0,,4,,,
3,1,1,C,amb,s_p,1,5,90,0,3,4,3,1,0,84,1181,0,0.3,15.5,3,,4,,4,,,
3,2,1,A,warm,a,0,0,20,30,0,0,2,0,27,0,369,106,0.3,27.4,0,,0,,2,,,
3,2,1,B,warm,p,0,1,80,1,0,1,5,5,2,0,1314,3,0.3,19.7,0,,1,,9,1,,
3,3,2,A,amb,n,0,1,20,5,0,1,2,0,4,20,575,24,0.4,25.5,1,,0,1,2,,0.55,
3,3,2,B,amb,s,25,1,2,5,68,1,0,1,3,0,8,32,0.7,34.2,0.27,,1,,1,,0.5,
3,4,2,A,warm,a_s,3,3,0,3,4,1,0,0,2,8,0,17,0.85,28.6,1,,0,1,0,,0.7,
3,4,2,B,warm,a_p,0,0,5,5,0,0,1,0,5,0,10,33,0.95,33.3,0,,0,,1,,0.6,
3,4,2,C,warm,s_p,10,0,30,1,4,0,2,0,1,0,72,1,0.8,34.9,3,,0,,1,1,0.5,
3,5,3,A,amb,s_p,5,0,60,2,7,0,1,3,5,0,292,18,0.45,28.1,3,,0,,3,1,0.25,
3,5,3,B,amb,a_p,0,0,80,2,0,0,0,4,3,0,497,9,0.3,20.3,0,,0,,3,1,0.7,
3,5,3,C,amb,a_s,10,0,0,10,21,0,0,0,11,0,0,39,0.8,28.4,7,,0,,0,,0.7,
3,6,3,A,warm,p,1,8,70,0,1,2,3,5,0,4,531,0,0.3,26.8,0,,1,1,5,5,0.3,
3,6,3,B,warm,n,1,0,10,20,1,0,0,1,15,0,0,48,0.35,29.5,0,,0,,1,,,
3,7,4,A,amb,s,10,10,10,2,44,4,0,2,4,14,71,20,0.65,22.4,30,,4,,2,,0.1,
3,7,4,B,amb,p,1,0,10,10,1,0,0,6,3,0,23,36,0.95,23.8,1,,0,,6,,,
3,8,4,A,warm,s,10,2,3,15,53,1,0,1,16,0,16,35,0.99,15.8,41,,1,,1,,0.25,
3,8,4,B,warm,a,1,1,0,1,1,1,0,0,28,0,0,58,0.99,18.2,1,,1,,0,,0.6,
